date,portfolio_value,cash,shares_held,trade_type,trade_shares,trade_price
2024-12-06,128621.72240764838,0.5536742717085872,92429,Buy,0,1.3915672433259765
2024-12-09,130841.04998736257,0.5536742717085872,92429,Buy,0,1.4155784041057553
2024-12-10,131420.00425321882,0.5536742717085872,92429,Buy,0,1.4218421770109717
2024-12-11,130693.46813262108,0.5536742717085872,92429,Buy,0,1.4139816990159948
2024-12-12,131527.84952644652,0.5536742717085872,92429,Buy,0,1.4230089674471735
2024-12-13,131624.33901015713,0.5536742717085872,92429,Buy,0,1.4240528982882583
2024-12-16,133276.05074993978,0.5536742717085872,92429,Buy,0,1.4419229578992314
2024-12-17,134660.99693582856,0.5536742717085872,92429,Buy,0,1.456906850247832
2024-12-18,131578.93321568114,0.5536742717085872,92429,Buy,0,1.4235616477664956
2024-12-19,132566.55699541408,0.5536742717085872,92429,Buy,0,1.4342468632262857
2024-12-20,135234.29067051876,0.5536742717085872,92429,Buy,0,1.4631093812141975
2024-12-23,135677.01887115065,0.5536742717085872,92429,Buy,0,1.4678993086247707
2024-12-24,137340.09508224664,0.5536742717085872,92429,Buy,0,1.4858923217602154
2024-12-26,137805.50881652403,0.5536742717085872,92429,Buy,0,1.4909276865729622
2024-12-27,135858.6420490547,0.5536742717085872,92429,Buy,0,1.469864310711822
2024-12-30,133934.47817882342,0.5536742717085872,92429,Buy,0,1.4490465601115636
2024-12-31,132924.15150185247,0.5536742717085872,92429,Buy,0,1.438115719390892
2025-01-02,129195.01614233851,0.5536742717085872,92429,Buy,0,1.3977697742923412
2025-01-03,128916.88611713127,0.5536742717085872,92429,Buy,0,1.3947606535054968
2025-01-06,129847.74831287107,0.5536742717085872,92429,Buy,0,1.4048317588484065
2025-01-07,128264.14526480247,0.5536742717085872,92429,Buy,0,1.3876985750200777
2025-01-08,128542.25792641718,0.5536742717085872,92429,Buy,0,1.390707507948214
2025-01-10,125221.80076257621,0.5536742717085872,92429,Buy,0,1.3547830993335912
2025-01-13,123831.17668192883,0.5536742717085872,92429,Buy,0,1.3397377771874317
2025-01-14,123195.46083207947,0.5536742717085872,92429,Buy,0,1.3328598941653351
2025-01-15,125800.74634663615,0.5536742717085872,92429,Buy,0,1.361046778309453
2025-01-16,120346.10397907071,0.5536742717085872,92429,Buy,0,1.302032374090372
2025-01-17,121322.38065108276,0.5536742717085872,92429,Buy,0,1.3125948238843983
2025-01-21,117156.18630389923,0.5536742717085872,92429,Buy,0,1.267520287243479
2025-01-22,117831.63005346604,0.5536742717085872,92429,Buy,0,1.2748279909897795
2025-01-23,117735.14925155172,0.5536742717085872,92429,Buy,0,1.2737841540780492
2025-01-24,117235.65078513043,0.5536742717085872,92429,Buy,0,1.2683800226212414
2025-01-27,121254.26327757246,0.5536742717085872,92429,Buy,0,1.3118578541724
2025-01-28,126022.11478785022,0.5536742717085872,92429,Buy,0,1.3634417889794168
2025-01-29,126646.48352997872,0.5536742717085872,92429,Buy,0,1.3701969063357498
2025-01-30,125641.8173841738,0.5536742717085872,92429,Buy,0,1.359327307553929
2025-01-31,124739.3446622269,0.5536742717085872,92429,Buy,0,1.349563351198814
2025-02-03,120204.20870088406,0.5536742717085872,92429,Buy,0,1.3004971927275244
2025-02-04,122923.01738342704,0.5536742717085872,92429,Buy,0,1.3299122971054034
2025-02-05,122735.70762896816,0.5536742717085872,92429,Buy,0,1.3278857712914394
2025-02-06,123161.41082712058,0.5536742717085872,92429,Buy,0,1.33249150323869
2025-02-07,119988.51815442856,0.5536742717085872,92429,Buy,0,1.2981636118551196
2025-02-10,120141.9341762614,0.5536742717085872,92429,Buy,0,1.2998234374708122
2025-02-11,122966.01832033716,0.5536742717085872,92429,Buy,0,1.3303775291960904
2025-02-12,125380.97281533403,0.5536742717085872,92429,Buy,0,1.3565052001110292
2025-02-13,128028.90331315385,0.5536742717085872,92429,Buy,0,1.3851534652423172
2025-02-14,129773.35400065978,0.5536742717085872,92429,Buy,0,1.4040268782134186
2025-02-18,129699.48927802074,0.5536742717085872,92429,Buy,0,1.4032277272690286
2025-02-19,129926.77002249261,0.5536742717085872,92429,Buy,0,1.405686703829111
2025-02-20,130472.27332733234,0.5536742717085872,92429,Buy,0,1.4115885669331123
2025-02-21,130313.17072894468,0.5536742717085872,92429,Buy,0,1.409867217590507
2025-02-24,131193.92159663173,0.5536742717085872,92429,Buy,0,1.4193961627017495
2025-02-25,131159.8195008953,0.5536742717085872,92429,Buy,0,1.4190272081989808
2025-02-26,127364.07740042149,0.5536742717085872,92429,Buy,0,1.3779606370960389
2025-02-27,125625.31328947037,0.5536742717085872,92429,Buy,0,1.3591487478518502
2025-02-28,128205.04827761352,0.5536742717085872,92429,Buy,0,1.3870591979069535
2025-03-03,126040.11215151155,0.5536742717085872,92429,Buy,0,1.3636365045303946
2025-03-04,124846.84266360395,0.5536742717085872,92429,Buy,0,1.3507263844608537
2025-03-05,124738.88452702474,0.5536742717085872,92429,Buy,0,1.3495583729430485
2025-03-06,124505.90852420179,0.5536742717085872,92429,Buy,0,1.3470377787266992
2025-03-07,126631.07334160495,0.5536742717085872,92429,Buy,0,1.3700301817322835
2025-03-10,120045.3405109956,0.5536742717085872,92429,Buy,0,1.2987783794774788
2025-03-11,116272.32735314859,0.5536742717085872,92429,Buy,0,1.2579577154234804
2025-03-12,114078.97570786497,0.5536742717085872,92429,Buy,0,1.234227591271065
2025-03-13,109930.93499667561,0.5536742717085872,92429,Buy,0,1.189349460909497
2025-03-14,112095.8798045738,0.5536742717085872,92429,Buy,0,1.2127722482154095
2025-03-17,112385.66948216753,0.5536742717085872,92429,Buy,0,1.215907516124764
2025-03-18,111641.29227024132,0.5536742717085872,92429,Buy,0,1.207854013307183
2025-03-19,113090.2667035987,0.5536742717085872,92429,Buy,0,1.223530634642017
2025-03-20,112442.49183873457,0.5536742717085872,92429,Buy,0,1.2165222837471232
2025-03-21,114811.98844847783,0.5536742717085872,92429,Buy,0,1.2421581405641748
2025-03-24,116209.81842002673,0.5536742717085872,92429,Buy,0,1.2572814240742085
2025-03-25,117925.86227014726,0.5536742717085872,92429,Buy,0,1.2758475001988072
2025-03-26,116664.39727256296,0.5536742717085872,92429,Buy,0,1.2621995650530813
2025-03-27,117982.68462671431,0.5536742717085872,92429,Buy,0,1.2764622678211666
2025-03-28,114601.74138828168,0.5536742717085872,92429,Buy,0,1.239883453396769
2025-03-31,117005.34009376142,0.5536742717085872,92429,Buy,0,1.26588826471659
2025-04-01,117607.65707337191,0.5536742717085872,92429,Buy,0,1.2724048015135965
2025-04-02,118005.4135693411,0.5536742717085872,92429,Buy,0,1.27670817487011
2025-04-03,106243.15971457728,0.5536742717085872,92429,Buy,0,1.1494509952537144
2025-04-04,97827.74700250963,0.5536742717085872,92429,Buy,0,1.058403675558947
2025-04-07,93895.63124627493,0.5536742717085872,92429,Buy,0,1.0158616621623433
